Transaction_id,Transaction_Type,Description,Amount,Transaction_Date,Customer_id
1,Transfer,Product unit pressure.,962.57,2020-09-06,1
2,Payment,Picture take story democratic.,1717.93,2016-05-16,1
3,Transfer,Stop military drive ahead.,565.46,2021-03-28,1
4,Withdrawal,List modern above meet.,2462.42,2021-01-03,1
5,Payment,Fact city this impact sound.,2142.08,2016-05-17,1
6,Withdrawal,Despite stop edge during wish.,2347.77,2021-09-07,1
7,Payment,You real term all.,32.95,2018-03-31,1
8,Payment,Shake so.,1680.57,2021-05-12,1
9,Payment,Son guess result other.,298.93,2021-05-18,2
10,Withdrawal,Especially less run account leader.,1737.90,2024-08-31,2
11,Transfer,Common worry page.,162.71,2023-07-29,2
12,Payment,Note recent land.,501.46,2016-05-04,2
13,Payment,Trade suddenly opportunity especially.,307.78,2016-05-29,2
14,Transfer,Project wide above no.,1813.28,2022-09-07,2
15,Payment,As case.,1891.00,2016-10-28,2
16,Payment,Year body although car recent.,1190.09,2019-01-16,3
17,Transfer,Feel gas.,2468.82,2020-01-27,3
18,Deposit,Where behind decide.,369.29,2020-09-15,3
19,Payment,Those cause less.,306.35,2020-04-26,3
20,Deposit,Sign rather range.,577.82,2024-04-18,3
21,Deposit,Seek per strategy.,249.91,2025-03-19,3
22,Withdrawal,Could something right beyond.,1245.84,2025-07-04,3
23,Transfer,Dream good ahead.,957.20,2018-03-10,3
24,Deposit,Husband continue leave.,382.69,2018-10-31,3
25,Payment,Chance its put.,1900.67,2018-05-24,3
26,Transfer,South gas reality.,1982.04,2023-07-17,3
27,Transfer,Guy development court resource glass.,1655.57,2020-04-22,3
28,Deposit,Garden bag place.,1356.55,2016-09-23,3
29,Payment,With sometimes statement personal.,2381.50,2025-06-14,3
30,Payment,Discussion behind live top fight.,2200.43,2024-06-21,3
31,Payment,Fine range read recognize.,1125.84,2016-03-29,3
32,Withdrawal,Career cost suddenly indeed.,1149.68,2025-06-09,4
33,Transfer,Easy economic believe.,1392.11,2016-02-27,4
34,Payment,Suffer property store.,2211.87,2023-12-19,4
35,Payment,White rest several section.,1077.27,2022-04-21,4
36,Payment,Either big send agreement.,1219.15,2024-07-30,4
37,Payment,Moment memory situation.,1650.54,2018-02-13,4
38,Withdrawal,Hot add perform arrive.,1190.30,2016-03-23,4
39,Transfer,Doctor page issue after such.,1267.21,2021-06-01,4
40,Transfer,Our wear job management arrive.,1237.23,2021-07-27,4
41,Transfer,Allow form past opportunity.,1916.41,2022-08-13,4
42,Deposit,Truth by quality.,154.50,2019-03-09,4
43,Transfer,Key quality beyond community.,321.37,2021-09-12,4
44,Deposit,Exactly director simple.,2024.07,2019-04-05,4
45,Transfer,Most although maybe sure bed.,1913.22,2018-10-18,4
46,Transfer,Practice arm hard.,952.05,2021-01-02,4
47,Transfer,Husband hand teacher.,2479.87,2021-03-09,4
48,Withdrawal,Need size down.,142.07,2023-01-25,4
49,Deposit,Effort likely short.,587.32,2022-04-22,4
50,Transfer,Her continue participant book.,2276.06,2025-01-26,4
51,Transfer,Fall agency expect else.,844.65,2025-08-02,6
52,Payment,Miss religious.,94.41,2018-06-06,6
53,Transfer,Eat third head.,1420.56,2021-01-30,6
54,Deposit,Though rate.,51.99,2020-07-16,6
55,Payment,Professor one low.,2464.43,2021-07-27,6
56,Payment,Fly impact.,806.73,2024-09-16,6
57,Withdrawal,Boy pull life call tough.,251.04,2018-03-27,6
58,Transfer,Speak travel degree class.,840.58,2020-03-02,6
59,Payment,Success center.,1537.45,2021-09-24,7
60,Deposit,Bar approach me direction peace.,505.19,2018-09-06,7
61,Withdrawal,Better near however.,2101.11,2019-10-19,7
62,Transfer,Skin kind.,719.10,2025-04-10,7
63,Withdrawal,Itself machine significant grow.,2490.57,2021-04-19,7
64,Deposit,Message later a poor get.,1561.81,2024-10-10,7
65,Deposit,Scientist subject ball tell argue.,1480.07,2022-09-28,7
66,Payment,Fish action write.,1416.50,2019-11-07,7
67,Deposit,Capital position.,1068.34,2021-11-29,7
68,Transfer,During manager party thought seat.,1629.19,2022-06-03,7
69,Withdrawal,Point they color.,1658.98,2022-04-17,8
70,Payment,Me laugh however down.,1036.37,2022-12-27,8
71,Withdrawal,Evening painting.,1679.23,2019-09-01,8
72,Withdrawal,Event range learn.,2202.36,2018-10-07,8
73,Payment,Father attention represent certainly.,1442.53,2023-06-02,8
74,Payment,Must benefit away during.,670.57,2018-08-27,8
75,Deposit,Professor land author the finish.,2336.66,2017-08-28,8
76,Payment,Each heart beyond.,1306.15,2021-09-20,8
77,Transfer,Civil able dog.,370.21,2024-02-13,8
78,Transfer,College someone community side science.,2110.46,2021-03-16,8
79,Withdrawal,Thing public.,2150.60,2025-01-31,8
80,Transfer,Business sister in indeed across.,2115.07,2022-10-24,8
81,Withdrawal,North property beat voice long.,1615.46,2022-12-06,8
82,Withdrawal,Scene outside letter.,1015.26,2024-07-13,8
83,Transfer,Or fill magazine lot animal.,480.60,2023-01-20,8
84,Payment,Government ball.,1160.94,2019-07-12,8
85,Withdrawal,Sister whom.,1055.63,2025-05-23,8
86,Deposit,Lead its.,399.24,2024-04-11,8
87,Withdrawal,Night the agree.,1974.38,2022-09-10,9
88,Payment,Study fly Congress learn more.,1611.09,2025-05-02,9
89,Deposit,Share think.,1955.80,2025-03-09,9
90,Deposit,Send performance sometimes fight employee.,785.45,2022-06-19,9
91,Transfer,Inside line pattern general.,2251.54,2021-03-29,9
92,Deposit,State outside law material.,1679.51,2015-11-16,9
93,Withdrawal,Keep same specific.,992.84,2016-05-22,9
94,Deposit,Matter seek suffer drive.,590.87,2019-05-28,9
95,Transfer,Husband care I stop.,1305.37,2016-07-05,9
96,Withdrawal,Name vote head manager.,1241.63,2024-10-17,9
97,Transfer,Better name system local.,1499.95,2017-02-19,9
98,Payment,Statement another role.,823.89,2019-04-03,9
99,Withdrawal,Reach until seven.,2014.80,2017-06-18,9
100,Withdrawal,Project which few.,545.80,2024-08-10,10
101,Payment,Though compare interest road.,536.06,2022-09-23,10
102,Deposit,Father quite.,1021.53,2016-02-17,10
103,Deposit,South indicate.,1226.41,2021-08-09,10
104,Payment,Range company.,791.91,2021-01-20,10
105,Withdrawal,Hear far.,1707.16,2022-09-10,10
106,Transfer,Both however mother.,908.13,2017-10-12,10
107,Deposit,Debate type energy agree.,2053.59,2025-07-27,10
108,Deposit,Home help with.,2103.84,2018-05-19,10
109,Withdrawal,Or total until describe.,1727.02,2016-12-17,10
110,Transfer,Next which able everything detail.,633.20,2021-06-29,10
111,Transfer,Turn direction rock real bad.,1597.73,2017-12-13,10
112,Deposit,Office Congress weight single.,2257.99,2018-02-14,10
113,Payment,Box popular lot arm form.,1337.74,2023-02-26,10
114,Transfer,Exactly analysis enough.,971.79,2021-05-26,10
115,Withdrawal,Sea rate often bank.,752.92,2016-07-31,10
116,Withdrawal,Color message exactly buy.,744.26,2016-03-02,10
117,Transfer,After movie land.,2289.81,2018-09-22,10
118,Deposit,Significant watch present summer lose.,1973.50,2022-09-25,11
119,Payment,Moment rock student minute.,2058.17,2020-04-17,11
120,Transfer,Strategy local expect.,1842.62,2016-05-16,11
121,Deposit,Large outside firm upon care.,1793.75,2015-12-22,11
122,Transfer,Buy evidence table so.,2061.18,2017-12-22,11
123,Payment,Green scene need movement.,1266.33,2021-11-10,11
124,Transfer,Yet through.,1505.69,2016-09-07,11
125,Deposit,Item manage.,1133.70,2025-07-01,11
126,Payment,Song take tend finish technology.,1603.79,2023-09-30,11
127,Deposit,Year customer.,1977.76,2024-04-12,11
128,Transfer,Collection leave.,1002.25,2018-10-05,11
129,Deposit,Strategy large concern term.,784.99,2024-11-19,11
130,Withdrawal,Billion others participant design.,395.40,2020-01-06,11
131,Payment,Medical become stuff deep table.,2117.55,2018-02-12,11
132,Payment,Possible thought apply most way.,1981.81,2022-03-23,11
133,Withdrawal,Box debate.,1196.44,2017-07-24,11
134,Transfer,Matter international.,652.44,2018-02-05,11
135,Deposit,Girl somebody receive boy.,1999.02,2023-07-31,11
136,Payment,Sort reality instead.,919.63,2021-05-24,12
137,Withdrawal,Sort drug like.,2361.95,2015-11-21,12
138,Withdrawal,Forget official senior animal ready.,52.82,2025-07-19,12
139,Withdrawal,Drug pull.,2267.21,2020-08-14,12
140,Withdrawal,Ground fast middle four different.,655.20,2016-04-02,12
141,Payment,Tough star doctor our.,125.41,2018-11-16,12
142,Deposit,Nature store check sure yourself.,1501.38,2024-02-18,12
143,Deposit,Page child treat.,2395.12,2023-11-25,12
144,Payment,Black speak attorney outside.,36.27,2019-11-29,12
145,Payment,Follow thing at.,1933.62,2020-09-19,12
146,Withdrawal,Story test today.,297.16,2017-10-21,12
147,Transfer,Standard yard.,477.17,2016-02-21,12
148,Payment,Image also recent.,720.62,2020-04-06,12
149,Withdrawal,Do our group best.,326.37,2016-03-15,12
150,Transfer,Rich never five.,1500.61,2016-07-25,12
151,Payment,Finish design.,1817.04,2023-09-07,12
152,Withdrawal,Owner across.,451.74,2016-12-02,12
153,Withdrawal,Our miss say simple.,72.90,2022-11-14,12
154,Payment,Animal onto receive figure think.,2268.41,2021-08-29,13
155,Withdrawal,Mrs career everyone role none.,215.26,2020-07-19,13
156,Payment,Painting compare blue low simply.,2178.74,2018-01-13,13
157,Payment,Forget watch understand.,1717.44,2017-10-22,13
158,Transfer,Hundred ask theory democratic.,1771.42,2017-07-20,13
159,Deposit,Like various laugh long carry.,183.57,2019-07-24,13
160,Payment,Prevent religious window relationship.,131.23,2023-03-05,13
161,Deposit,Figure practice position.,2270.66,2019-01-03,13
162,Payment,Behind pattern they.,14.40,2020-02-24,13
163,Transfer,Specific article purpose.,756.97,2021-05-19,13
164,Deposit,Continue doctor fine.,331.46,2019-07-14,13
165,Withdrawal,Behind name.,1451.64,2022-11-20,13
166,Payment,Face collection set.,1259.86,2022-01-01,13
167,Payment,Their establish protect property church.,330.67,2022-04-01,13
168,Transfer,Each student happy.,355.35,2024-06-30,13
169,Payment,Film in reduce visit brother.,111.36,2024-05-16,13
170,Transfer,International assume from writer account.,2179.33,2016-06-11,13
171,Transfer,Expect final goal per per.,1869.81,2020-12-25,13
172,Transfer,Today level.,2257.08,2022-11-08,13
173,Transfer,Find player feel foot.,1090.00,2023-12-16,14
174,Withdrawal,Range perhaps.,1842.44,2020-04-18,14
175,Payment,Training condition team property start.,1389.63,2018-06-08,14
176,Deposit,Agree current.,134.00,2024-02-21,14
177,Payment,Floor environment see order.,575.42,2025-05-28,14
178,Payment,Along whatever drop.,651.30,2017-11-21,14
179,Deposit,Represent item professional yourself.,1091.64,2020-04-03,14
180,Payment,Community collection get discuss himself.,1104.36,2017-11-08,14
181,Withdrawal,Economic strong person my senior.,1144.94,2024-07-18,14
182,Withdrawal,Quality structure soldier situation figure.,310.01,2024-10-03,14
183,Withdrawal,President teach family.,2170.56,2023-10-13,14
184,Transfer,Interesting concern seat establish.,1875.09,2016-07-31,14
185,Withdrawal,Cut feel military.,1408.56,2018-05-15,14
186,Withdrawal,Discover draw decade he voice.,1459.28,2025-10-05,14
187,Withdrawal,High total effort also itself.,1041.63,2024-12-11,14
