Branch_id,Employee_id,Start_Date,End_Date
29,1,2015-12-30,2019-11-28
79,2,2023-06-08,
100,3,2021-12-02,2023-06-05
434,3,2016-06-08,2016-12-11
329,4,2025-08-20,
316,5,2020-01-09,2021-01-18
339,6,2018-06-02,2020-06-09
223,7,2020-10-27,2023-12-08
477,7,2017-05-28,2019-11-15
120,8,2023-04-25,
256,9,2017-03-28,2019-11-15
390,10,2022-04-03,
415,10,2025-01-24,
297,11,2023-10-24,
356,11,2023-12-12,
260,12,2018-04-11,
183,13,2016-12-27,2017-05-03
182,14,2024-04-01,
301,14,2016-03-02,
281,15,2025-10-07,
214,16,2018-12-30,2020-12-13
436,17,2022-02-18,
378,18,2023-04-02,
143,19,2017-05-25,
119,20,2015-11-09,2017-04-10
127,21,2016-08-18,
188,22,2025-04-17,
250,23,2022-12-30,
404,24,2023-02-13,
152,25,2025-04-11,
182,26,2022-12-04,
430,26,2023-03-16,2025-06-27
137,27,2024-01-28,
288,27,2017-04-24,2020-05-02
98,28,2023-04-15,
148,29,2019-07-26,2021-01-09
211,29,2018-08-16,2019-03-30
303,30,2018-07-13,2020-05-26
171,31,2025-03-01,
480,32,2018-04-13,2021-02-20
55,33,2022-01-20,
162,33,2024-06-26,
239,34,2020-05-01,2020-09-29
27,35,2020-05-21,2021-11-28
241,35,2019-05-22,2022-08-27
355,36,2025-01-01,
438,37,2017-10-18,2019-01-01
132,38,2021-10-22,2025-09-12
456,38,2020-02-26,2025-05-14
203,39,2022-02-10,2024-12-02
387,39,2023-06-22,
307,40,2021-07-25,
227,41,2024-04-16,
30,42,2017-03-14,2022-03-23
408,42,2020-07-15,2021-06-13
286,43,2024-08-15,2025-10-14
265,44,2019-02-22,2022-10-23
183,45,2016-05-20,
157,46,2023-05-21,
348,46,2019-03-29,2019-05-07
60,47,2021-04-18,2023-08-06
192,48,2024-04-27,
397,48,2017-11-10,2020-05-31
288,49,2022-07-23,
112,50,2018-05-02,
101,51,2021-04-26,2021-10-15
162,52,2024-02-17,
35,53,2023-01-08,
198,53,2015-11-13,2019-05-14
108,54,2018-10-22,
118,54,2017-04-30,2017-06-22
124,55,2019-01-31,2023-04-26
335,56,2019-10-13,
452,56,2016-04-13,2019-04-16
93,57,2019-01-29,
451,58,2023-02-25,
48,59,2024-11-11,
234,60,2022-02-12,2024-12-10
251,60,2016-06-07,
345,61,2016-01-21,2020-12-08
19,62,2022-09-19,
21,63,2019-05-08,
235,63,2019-10-26,2021-08-20
422,64,2016-12-04,2021-10-30
295,65,2020-06-06,
313,66,2021-06-28,
340,67,2023-07-23,
11,68,2021-12-16,
278,69,2016-04-14,
473,70,2025-03-26,
151,71,2016-09-19,2020-07-31
495,72,2015-11-24,2019-06-25
143,73,2015-10-27,2018-07-23
439,73,2017-10-21,
460,74,2018-02-16,2022-08-28
234,75,2018-05-21,2018-11-06
347,75,2017-09-29,2023-01-01
237,76,2023-10-11,2025-03-30
302,76,2024-09-03,
391,77,2025-01-07,
440,78,2022-01-31,2025-04-13
470,78,2017-10-19,2023-02-10
482,79,2024-03-05,
356,80,2024-01-06,2024-06-20
301,81,2016-05-21,2021-03-25
497,81,2024-03-12,
389,82,2019-07-03,2024-05-03
85,83,2022-11-29,
261,83,2021-09-09,
14,84,2018-08-26,2019-04-17
33,84,2018-10-20,
357,85,2021-11-27,2025-02-16
399,85,2022-01-19,
239,86,2017-10-22,2021-11-06
110,87,2020-09-11,
64,88,2019-11-13,2023-02-13
498,89,2020-04-07,2024-12-14
223,90,2017-05-19,2018-11-23
281,91,2017-11-04,
139,92,2017-05-26,2017-07-04
383,93,2017-07-28,2022-01-19
190,94,2021-03-16,2022-08-16
27,95,2017-08-28,2022-02-01
228,96,2017-03-09,
82,97,2019-04-03,2023-06-27
91,98,2017-08-02,2021-05-18
384,99,2016-12-03,2019-07-19
381,100,2022-10-22,
249,101,2019-05-08,
307,101,2024-02-18,
59,102,2016-11-13,
209,103,2018-09-24,
246,103,2018-01-27,2020-06-16
142,104,2020-10-23,
261,105,2016-06-07,2019-08-28
125,106,2018-04-30,2018-10-14
482,106,2018-04-29,
430,107,2017-12-12,2021-04-27
303,108,2025-03-10,
357,108,2024-03-15,
166,109,2023-08-15,
413,109,2020-04-01,2023-06-18
394,110,2018-09-07,2020-05-21
359,111,2025-07-31,
180,112,2021-07-30,
24,113,2022-07-07,
210,114,2018-02-27,2021-01-04
181,115,2024-02-25,2024-03-27
57,116,2024-01-23,
225,117,2020-12-25,
362,117,2017-07-25,2018-03-22
5,118,2021-03-15,
92,119,2017-12-30,2021-04-09
263,120,2019-08-31,2022-06-23
312,120,2025-07-17,
209,121,2020-08-17,
443,121,2023-12-04,
18,122,2024-03-11,
127,123,2024-12-31,
35,124,2022-03-27,2024-09-04
