Account_id,Account_Balance,Branch_id,Date_Opened,Account_Type
1,15795.09,353,2007-10-08,Checking
2,21303.58,55,2022-05-03,Money Market
3,42748.85,130,2019-12-12,Student
4,30594.03,290,2017-08-09,Savings
5,20661.41,387,2021-03-28,Savings
6,18510.65,248,2021-10-18,Student
7,49425.41,248,2020-02-12,Student
8,35274.73,177,2008-06-10,Student
9,32964.14,438,2006-06-07,Checking
10,34965.57,229,2008-03-29,Checking
11,25417.18,52,2020-12-30,Checking
12,30701.27,411,2013-06-16,Money Market
13,48228.51,83,2017-01-29,Business
14,41162.77,412,2023-10-06,Business
15,21768.87,475,2012-05-05,Savings
16,18541.76,135,2020-10-31,Business
17,19216.30,20,2009-07-22,Student
18,26050.28,315,2011-02-02,Savings
19,41011.44,30,2008-06-15,Student
20,10085.36,225,2025-07-26,Savings
21,1680.47,147,2021-06-09,Student
22,34922.49,262,2014-03-28,Student
23,1803.06,87,2010-09-09,Student
24,48782.30,336,2025-10-19,Checking
25,19971.68,142,2008-04-26,Business
26,10015.52,208,2012-08-29,Savings
27,3430.86,378,2010-01-09,Business
28,36306.94,282,2019-06-05,Business
29,17404.76,469,2012-09-24,Student
30,48152.86,116,2012-03-16,Money Market
31,28745.34,477,2016-09-29,Savings
32,25311.90,90,2016-09-03,Money Market
33,14712.59,38,2014-07-10,Student
34,47835.47,412,2014-04-18,Business
35,28744.69,417,2008-01-05,Student
36,28158.43,495,2017-05-07,Savings
37,48061.94,388,2018-03-10,Checking
38,44826.19,349,2015-06-22,Savings
39,12890.99,247,2023-03-14,Business
40,49709.90,325,2008-02-13,Savings
41,20621.30,410,2018-09-22,Checking
42,2835.74,265,2013-10-16,Money Market
43,4650.47,128,2019-05-13,Money Market
44,46569.81,39,2013-05-15,Money Market
45,10928.31,161,2017-11-16,Savings
46,47355.91,138,2021-09-15,Student
47,9983.33,256,2009-04-10,Checking
48,10338.93,447,2019-11-08,Checking
49,41816.74,428,2020-03-16,Checking
50,5334.46,80,2008-05-02,Money Market
51,24633.24,347,2010-12-05,Business
52,27073.70,392,2006-08-01,Business
53,18559.83,435,2014-12-28,Business
54,44849.99,253,2006-01-17,Money Market
55,49219.73,252,2021-09-14,Money Market
56,11104.64,144,2016-11-18,Student
57,26286.77,66,2024-08-04,Student
58,1628.13,245,2013-09-05,Savings
59,34316.93,202,2006-07-05,Money Market
60,34912.23,235,2023-02-08,Checking
61,420.93,162,2010-05-07,Savings
62,5037.39,195,2012-10-10,Checking
63,12985.04,314,2006-06-23,Money Market
64,13470.41,135,2020-06-27,Student
65,9195.68,176,2017-08-07,Student
66,35035.63,108,2016-05-28,Savings
67,20029.63,187,2006-08-24,Money Market
68,6556.96,93,2012-12-28,Savings
69,40709.53,352,2020-09-05,Student
70,27767.00,412,2020-07-08,Money Market
71,40001.87,101,2022-07-15,Savings
72,487.11,243,2007-09-26,Checking
73,49778.09,256,2022-10-16,Savings
74,15786.36,274,2009-08-24,Student
75,28106.92,154,2020-03-06,Savings
76,4948.74,25,2016-11-14,Student
77,40690.90,31,2020-12-21,Checking
78,4815.09,430,2011-09-06,Savings
79,18015.33,134,2017-09-16,Money Market
80,12885.74,478,2007-08-22,Student
81,17554.52,211,2023-02-01,Business
82,28794.72,102,2012-11-13,Student
83,14230.44,90,2008-04-21,Student
84,24374.69,345,2014-05-11,Money Market
85,19053.55,456,2024-01-18,Savings
86,47829.72,238,2011-08-22,Money Market
87,46428.33,328,2007-09-10,Checking
88,28581.88,324,2012-01-27,Savings
89,17181.27,41,2022-03-04,Business
90,14567.82,163,2011-02-28,Money Market
91,19772.77,310,2011-05-08,Money Market
92,46938.49,400,2006-06-15,Savings
93,20699.45,267,2015-09-16,Student
94,6252.00,438,2025-04-15,Checking
95,47021.87,339,2020-02-29,Checking
96,19852.28,108,2022-01-23,Business
97,23659.29,33,2006-02-05,Business
98,19850.63,14,2008-07-07,Business
99,30905.11,54,2019-12-02,Business
100,19492.31,336,2005-12-12,Business
101,14208.76,127,2009-04-06,Checking
102,41925.89,68,2013-12-28,Checking
103,17842.06,18,2010-12-04,Business
104,23359.67,443,2015-02-16,Money Market
105,27427.26,479,2019-09-12,Student
106,26964.38,497,2010-02-28,Checking
107,31552.38,306,2015-07-26,Student
108,31989.33,223,2014-01-24,Student
109,24082.58,159,2018-01-07,Student
110,22093.02,413,2023-10-19,Checking
111,7785.88,212,2019-12-24,Money Market
112,40768.99,1,2014-01-25,Business
113,23459.90,177,2019-05-17,Checking
114,47347.88,353,2014-10-10,Business
115,38293.46,154,2025-08-08,Savings
116,39838.37,306,2020-08-14,Money Market
117,20586.79,192,2021-07-30,Student
118,12494.81,224,2016-12-14,Student
119,11029.62,425,2017-04-27,Savings
120,11978.09,217,2011-10-13,Business
121,34232.01,414,2010-03-30,Student
122,26597.21,333,2009-02-21,Money Market
123,42674.10,212,2021-08-03,Money Market
124,5517.82,70,2019-04-24,Checking
125,13606.71,317,2015-08-26,Savings
126,16032.19,252,2021-08-05,Student
127,1106.54,26,2013-10-22,Checking
128,6251.96,145,2019-10-08,Business
129,11640.52,373,2025-08-15,Savings
130,10859.40,8,2014-09-26,Checking
131,39973.12,160,2008-03-08,Savings
132,39571.24,238,2010-03-05,Money Market
133,37528.48,42,2006-11-20,Money Market
134,38782.65,29,2019-10-30,Checking
135,9080.19,279,2015-04-06,Business
136,41412.60,419,2017-04-01,Money Market
137,35734.13,499,2008-07-30,Business
138,12358.11,395,2015-11-15,Savings
139,36766.14,102,2015-06-21,Business
140,49105.79,267,2010-11-14,Business
141,48060.69,200,2010-07-10,Savings
142,36411.85,82,2011-09-11,Money Market
143,12665.64,267,2023-01-25,Student
144,44375.98,102,2017-09-21,Money Market
145,11798.29,499,2023-04-10,Checking
146,8368.02,167,2025-06-20,Savings
147,19790.42,300,2023-02-14,Money Market
148,29053.85,5,2024-11-11,Checking
