Loan_id,Duration_in_Years,Loan_Start_Date,Interest_Rate,Loan_Amount_Taken,Loan_Amount_Repaid,Loan_Type,Customer_id
1,13.48,2016-01-14,16.64,36461.08,29606.28,Student,4
2,8.01,2024-07-20,9.44,89634.96,70401.84,Home,7
3,28.23,2013-08-22,17.73,31180.73,21350.69,Home,8
4,24.72,2018-04-15,13.33,75800.23,64014.50,Student,11
5,1.36,2014-12-14,3.10,28261.48,11279.32,Auto,17
6,26.17,2015-05-04,14.25,9359.94,8419.23,Home,20
7,0.62,2017-12-15,17.34,16951.90,3485.92,Personal,21
8,18.71,2017-11-18,12.36,20580.46,3061.72,Auto,26
9,18.43,2021-07-17,5.83,46940.80,8045.52,Personal,33
10,24.56,2020-05-12,11.42,90311.88,2710.52,Student,37
11,23.09,2019-05-22,10.77,61429.82,32466.19,Personal,39
12,7.36,2016-12-29,14.84,46581.43,27275.11,Personal,40
13,22.12,2016-06-20,12.75,25495.13,1974.36,Student,41
14,10.34,2020-09-28,15.37,97179.07,45996.91,Personal,42
15,7.75,2024-06-24,4.31,12227.33,5185.94,Auto,46
16,26.53,2018-02-08,5.24,41039.04,8053.71,Student,47
17,16.92,2021-09-22,16.25,18790.07,16323.73,Auto,48
18,24.08,2023-03-06,13.97,29041.92,10565.63,Personal,50
19,2.98,2023-06-12,9.74,87383.75,81617.76,Personal,51
20,19.43,2022-01-25,14.36,99179.42,32972.18,Home,53
21,11.67,2014-06-19,4.20,85916.76,66007.73,Personal,56
22,27.34,2019-09-06,14.16,63155.96,7769.22,Auto,57
23,29.73,2021-11-30,6.42,59490.31,52258.80,Auto,60
24,16.09,2014-09-08,8.31,65877.79,40960.90,Home,61
25,11.37,2011-03-17,3.67,32976.27,3931.74,Auto,64
26,16.95,2019-12-22,7.53,95870.34,77920.25,Auto,70
27,12.43,2019-01-30,16.51,51310.87,7199.64,Auto,72
28,19.25,2019-10-13,12.29,74988.16,74072.26,Home,78
29,18.05,2016-07-15,6.26,4595.53,3717.80,Student,82
30,27.43,2012-05-26,17.31,86113.47,5499.34,Home,86
31,13.41,2017-12-15,11.51,9597.61,7416.49,Home,88
32,21.95,2021-07-10,3.76,18139.61,40.37,Home,89
33,27.36,2015-01-10,5.06,26923.30,1418.94,Student,90
34,2.27,2017-01-13,16.27,15099.10,13974.27,Personal,94
35,18.75,2017-04-08,12.08,38448.71,32699.36,Student,97
36,2.49,2023-11-27,6.81,5177.19,319.20,Personal,99
37,7.07,2014-11-08,5.13,40441.15,25948.60,Student,100
38,5.50,2018-08-01,13.97,98016.05,56733.18,Personal,101
39,26.91,2014-10-27,13.39,48112.72,21016.45,Auto,103
40,14.34,2012-05-01,12.44,32810.38,15678.78,Auto,105
41,8.54,2013-10-18,4.10,38159.24,8334.67,Home,110
42,29.21,2016-01-30,14.00,7456.13,1762.49,Auto,113
43,9.56,2015-04-24,16.56,62505.36,13218.57,Student,120
44,24.02,2023-11-08,3.38,49644.62,41962.64,Personal,121
45,9.67,2011-02-08,6.93,18189.07,2487.86,Home,122
46,2.30,2017-12-23,17.73,29187.46,16999.59,Auto,125
47,24.13,2011-06-07,6.28,38603.10,12984.78,Student,126
48,12.81,2017-09-04,14.49,82649.77,59733.96,Personal,129
49,24.47,2017-11-24,13.78,87797.38,22125.58,Auto,131
50,28.18,2013-06-14,15.36,18705.41,17642.33,Student,132
51,5.51,2022-04-08,15.70,50193.84,16293.96,Auto,136
52,12.22,2020-02-03,13.02,17886.63,14068.52,Home,141
53,10.51,2024-12-14,9.28,82353.40,54746.35,Home,142
54,8.84,2016-07-02,11.25,72020.87,67796.47,Personal,145
55,2.54,2021-04-13,12.97,84041.35,45664.52,Student,147
56,2.57,2022-11-15,13.71,17780.44,5055.34,Auto,149
57,1.16,2020-04-15,5.67,7835.98,2775.25,Student,150
58,15.13,2015-09-28,4.73,53666.59,26735.63,Auto,151
59,8.96,2012-01-22,3.52,23414.18,11884.77,Home,156
60,22.27,2020-08-13,3.45,26030.47,25650.83,Personal,159
61,7.87,2011-03-03,14.97,10510.05,6832.64,Student,160
62,18.34,2021-05-04,3.85,19711.97,313.28,Student,161
63,14.82,2016-07-16,10.23,58874.48,54741.47,Student,166
64,11.03,2019-02-08,7.63,95505.00,36050.76,Home,170
65,18.59,2020-03-13,5.63,90152.41,45460.64,Home,171
66,6.53,2018-09-27,8.26,6951.15,2654.08,Auto,172
67,28.41,2023-12-18,5.69,69732.45,13151.00,Home,176
68,22.53,2025-03-02,9.70,66172.87,20837.90,Auto,177
69,0.92,2015-12-09,6.86,15584.23,12399.47,Home,179
70,9.26,2014-06-08,9.90,99909.33,74567.33,Auto,180
71,28.80,2013-03-11,17.75,93753.59,91745.39,Personal,181
72,17.22,2015-02-01,16.73,59146.97,3175.01,Personal,187
73,24.03,2017-09-14,10.36,5290.57,1210.96,Auto,188
74,16.16,2013-04-05,11.84,55527.40,29818.93,Home,191
75,11.83,2018-04-27,12.19,61128.34,58175.75,Home,196
76,29.99,2019-02-10,9.20,83948.67,33040.83,Personal,199
77,8.11,2017-07-01,5.13,82817.31,489.04,Auto,200
